# Date: 2013-09-16
# Data taken by Liam and Selena
# frequency (Hz)   amplitude (mm)   amp error(mm)
         0.7500         13.5200          0.3200
         1.7885         12.1100          0.9200
         2.8269         14.2700          0.7300
         3.8654         16.6000          2.0600
         4.9038         22.9100          1.7500
         5.9423         35.2800          0.9100
         6.9808         60.9900          0.9900
         8.0192         33.3800          0.3600
         9.0577         17.7800          2.3200
        10.0962         10.9900          0.2100
        11.1346          7.4700          0.4800
        12.1731          6.7200          0.5100
        13.2115          4.4000          0.5800
        14.2500          4.0700          0.6300
