#BALLOON DATA (A.Aggarwal 11.4.2020)
#Time (seconds) 	Altitude (meters)
   0.0000000e+00   4.4000000e+02
   2.9999924e+00   4.4000000e+02
   6.0000000e+00   4.4200000e+02
   8.0000000e+00   4.4300000e+02
   1.1000000e+01   4.4300000e+02
   1.3999992e+01   4.4100000e+02
   1.5999992e+01   4.4100000e+02
   1.9000000e+01   4.4200000e+02
   2.2000000e+01   4.4500000e+02
   2.4000000e+01   4.4700000e+02
   2.6999992e+01   4.4800000e+02
   3.0000000e+01   4.4800000e+02
   3.2000000e+01   4.4700000e+02
   3.5000000e+01   4.4700000e+02
   3.8000000e+01   4.4800000e+02
   4.1000000e+01   4.4900000e+02
   4.4000008e+01   4.5000000e+02
   4.6000000e+01   4.5100000e+02
   4.9000000e+01   4.5200000e+02
   5.2000000e+01   4.5400000e+02
   5.4000000e+01   4.5500000e+02
   5.7000008e+01   4.5500000e+02
   6.2000000e+01   4.5600000e+02
   6.5000000e+01   4.5600000e+02
   6.7000000e+01   4.5600000e+02
   7.0000008e+01   4.5500000e+02
   7.3000000e+01   4.5500000e+02
   7.5000000e+01   4.5600000e+02
   7.8000000e+01   4.5600000e+02
   8.1000008e+01   4.5600000e+02
   8.3000008e+01   4.5600000e+02
   8.6000000e+01   4.5600000e+02
   8.9000000e+01   4.5600000e+02
   9.1999992e+01   4.5600000e+02
   9.4000008e+01   4.5500000e+02
   9.7000000e+01   4.5500000e+02
   1.0000000e+02   4.5400000e+02
   1.0200000e+02   4.5300000e+02
   1.0499999e+02   4.5300000e+02
   1.0800000e+02   4.5200000e+02
   1.1000000e+02   4.5200000e+02
   1.1599999e+02   4.5300000e+02
   1.1799999e+02   4.5400000e+02
   1.2100000e+02   4.5500000e+02
   1.2400000e+02   4.5700000e+02
   1.2700000e+02   4.5700000e+02
   1.3200000e+02   4.5800000e+02
   1.3500000e+02   4.5900000e+02
   1.3700000e+02   4.5900000e+02
   1.4000000e+02   4.6000000e+02
   1.4300000e+02   4.6000000e+02
   1.4500000e+02   4.6100000e+02
   1.4800000e+02   4.6100000e+02
   1.5100000e+02   4.6100000e+02
   1.5300000e+02   4.6000000e+02
   1.5600000e+02   4.6000000e+02
   1.5900001e+02   4.5900000e+02
   1.6100000e+02   4.5900000e+02
   1.6400000e+02   4.5800000e+02
   1.6700000e+02   4.5800000e+02
   1.6900000e+02   4.5800000e+02
   1.7200001e+02   4.5700000e+02
   1.7500000e+02   4.5700000e+02
   1.7800000e+02   4.5700000e+02
   1.8000000e+02   4.5800000e+02
   1.8300001e+02   4.5800000e+02
   1.8500001e+02   4.5800000e+02
   1.8800000e+02   4.5900000e+02
   1.9100000e+02   4.5800000e+02
   1.9399999e+02   4.5900000e+02
