# Carrizo Plain San Andreas Fault Scarp
# care of Seulgi Moon, Fall 2020
# 
# fault perpendicular distance [m]  elevation [m]
             0.000            636.821
             0.884            636.868
             1.769            636.915
             2.653            636.972
             3.538            637.033
             4.422            637.083
             5.307            637.122
             6.191            637.153
             7.075            637.154
             7.960            637.156
             8.844            637.175
             9.729            637.195
            10.613            637.233
            11.497            637.278
            12.382            637.325
            13.266            637.374
            14.151            637.419
            15.035            637.440
            15.920            637.461
            16.804            637.492
            17.688            637.525
            18.573            637.554
            19.457            637.581
            20.342            637.610
            21.226            637.643
            22.111            637.679
            22.995            637.737
            23.879            637.795
            24.764            637.849
            25.648            637.903
            26.533            637.935
            27.417            637.953
            28.302            637.969
            29.186            637.984
            30.070            638.000
            30.955            638.024
            31.839            638.048
            32.724            638.062
            33.608            638.072
            34.492            638.090
            35.377            638.114
            36.261            638.135
            37.146            638.149
            38.030            638.161
            38.915            638.144
            39.799            638.126
            40.683            638.127
            41.568            638.132
            42.452            638.140
            43.337            638.149
            44.221            638.150
            45.106            638.127
            45.990            638.105
            46.874            638.086
            47.759            638.066
            48.643            638.050
            49.528            638.034
            50.412            638.018
            51.296            638.001
            52.181            637.990
            53.065            638.004
            53.950            638.017
            54.834            638.030
            55.719            638.043
            56.603            638.055
            57.487            638.068
            58.372            638.081
            59.256            638.093
            60.141            638.105
            61.025            638.117
            61.910            638.129
            62.794            638.155
            63.678            638.184
            64.563            638.227
            65.447            638.279
            66.332            638.345
            67.216            638.434
            68.101            638.522
            68.985            638.603
            69.869            638.683
            70.754            638.774
            71.638            638.867
            72.523            638.952
            73.407            639.033
            74.291            639.112
            75.176            639.186
            76.060            639.263
            76.945            639.385
            77.829            639.506
            78.714            639.674
            79.598            639.853
            80.482            640.104
            81.367            640.415
            82.251            640.716
            83.136            640.990
            84.020            641.269
            84.905            641.721
            85.789            642.173
            86.673            642.651
            87.558            643.136
            88.442            643.622
            89.327            644.110
            90.211            644.581
            91.095            644.999
            91.980            645.417
            92.864            645.764
            93.749            646.109
            94.633            646.368
            95.518            646.593
            96.402            646.826
            97.286            647.069
            98.171            647.289
            99.055            647.410
            99.940            647.532
           100.824            647.622
           101.709            647.709
           102.593            647.835
           103.477            647.978
           104.362            648.116
           105.246            648.245
           106.131            648.366
           107.015            648.444
           107.899            648.523
           108.784            648.591
           109.668            648.658
           110.553            648.730
           111.437            648.806
           112.322            648.873
           113.206            648.928
           114.090            648.982
           114.975            649.029
           115.859            649.076
           116.744            649.121
           117.628            649.167
           118.513            649.199
           119.397            649.221
           120.281            649.246
           121.166            649.278
           122.050            649.310
           122.935            649.331
           123.819            649.351
           124.704            649.380
           125.588            649.410
           126.472            649.448
           127.357            649.493
           128.241            649.536
           129.126            649.573
           130.010            649.609
           130.894            649.648
           131.779            649.687
           132.663            649.725
           133.548            649.762
           134.432            649.798
           135.317            649.832
           136.201            649.869
           137.085            649.914
           137.970            649.959
           138.854            649.999
           139.739            650.039
           140.623            650.091
           141.508            650.148
           142.392            650.208
           143.276            650.273
           144.161            650.336
           145.045            650.388
           145.930            650.440
           146.814            650.484
           147.698            650.527
           148.583            650.583
           149.467            650.645
           150.352            650.704
           151.236            650.758
           152.121            650.813
           153.005            650.869
           153.889            650.925
           154.774            650.997
           155.658            651.072
           156.543            651.138
           157.427            651.200
           158.312            651.265
           159.196            651.338
           160.080            651.410
           160.965            651.468
           161.849            651.525
           162.734            651.588
           163.618            651.653
           164.503            651.726
           165.387            651.806
           166.271            651.880
           167.156            651.939
           168.040            651.999
           168.925            652.074
           169.809            652.149
           170.693            652.226
           171.578            652.305
           172.462            652.375
           173.347            652.437
           174.231            652.507
           175.116            652.597
           176.000            652.687
